artist_names,num_hit_songs,total_weeks
"24kGoldn, iann dior",1,85
"ACRAZE, Cherish",1,21
Adele,3,57
Arctic Monkeys,2,67
Ariana Grande,1,74
"Aventura, Bad Bunny",1,34
Avicii,2,122
BTS,3,153
"BTS, Halsey",1,46
"Baby Keem, Kendrick Lamar",1,20
Bad Bunny,5,103
"Bad Bunny, Bomba Estéreo",1,14
"Bad Bunny, Chencho Corleone",1,14
"Bad Bunny, Daddy Yankee",1,23
"Bad Bunny, Jhay Cortez",2,87
"Bad Bunny, Rauw Alejandro",1,14
"Bad Bunny, Tainy",1,67
Benson Boone,1,15
Billie Eilish,3,67
"Billie Eilish, Khalid",1,205
"Blessd, Justin Quiles, Lenny Tavárez",1,18
BoyWithUke,1,23
Bruno Mars,2,72
"Bruno Mars, Anderson .Paak, Silk Sonic",1,55
CKay,1,28
"CKay, Dj Yo!, AX'EL",1,27
"Calvin Harris, Dua Lipa",1,83
Coldplay,1,66
"Coldplay, BTS",1,26
Conan Gray,1,87
"Coolio, L.V.",1,22
"Daddy Yankee, Bad Bunny",1,20
Doja Cat,5,178
"Doja Cat, SZA",1,50
"Doja Cat, The Weeknd",1,39
"Drake, 21 Savage, Project Pat",1,29
"Drake, Future, Young Thug",1,20
"Drake, Travis Scott",1,19
"Drake, WizKid, Kyla",1,120
Dua Lipa,2,163
"Dua Lipa, DaBaby",1,77
Duncan Laurence,1,52
Ed Sheeran,5,752
"Elton John, Dua Lipa, PNAU",1,32
Eminem,3,134
"Eminem, Juice WRLD",1,76
"Eminem, Nate Dogg",1,39
Farruko,1,37
"Future, Drake, Tems",1,15
GAYLE,1,19
"Gabry Ponte, LUM!X, Prezioso",1,16
"Gesaffelstein, The Weeknd",1,21
Giveon,1,47
Glass Animals,1,65
Harry Styles,6,400
Hozier,1,75
Imagine Dragons,1,268
"Imagine Dragons, JID, Arcane, League of Legends",1,21
"J Balvin, Bad Bunny",1,64
"J Balvin, Maria Becerra",1,34
J. Cole,1,35
Jack Harlow,1,18
James Arthur,1,268
Jason Derulo,1,15
Jaymes Young,1,21
"Jhay Cortez, Anuel AA",1,20
"Joel Corry, Jax Jones, Charli XCX, Saweetie",1,21
John Legend,1,145
Joji,1,36
Juice WRLD,1,194
Justin Bieber,2,77
"Justin Bieber, Daniel Caesar, Giveon",1,53
KAROL G,1,16
Kanye West,1,19
Kendrick Lamar,1,96
Kodak Black,1,15
LISA,1,28
Labrinth,1,16
"Lady Gaga, Bradley Cooper",1,171
Lewis Capaldi,2,290
Lil Nas X,2,79
"Lil Nas X, Jack Harlow",1,35
Lizzo,1,15
Lord Huron,1,29
"Lost Frequencies, Calum Scott",1,29
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",1,22
Maluma,1,28
Maroon 5,1,116
"Maroon 5, Wiz Khalifa",1,14
"Marshmello, Jonas Brothers",1,30
Masked Wolf,1,53
"Mora, Bad Bunny, Sech",1,37
Mr.Kitty,1,17
Måneskin,2,77
"NEIKED, Mae Muller, Polo G",1,23
"Nio Garcia, J Balvin, Bad Bunny",1,30
Nirvana,1,63
Oliver Tree,1,20
Olivia Rodrigo,7,307
OneRepublic,1,54
Panic! At The Disco,1,16
"Polimá Westcoast, Pailita",1,16
Polo G,1,40
Post Malone,1,134
"Post Malone, Swae Lee",1,179
"Post Malone, The Weeknd",1,20
Queen,1,182
"ROSALÍA, The Weeknd",1,15
Rauw Alejandro,2,70
"Rauw Alejandro, Chencho Corleone",1,15
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",1,48
Ruth B.,1,32
"Rvssian, Rauw Alejandro, Chris Brown",1,28
"Sean Paul, Dua Lipa",1,34
Sebastian Yatra,1,18
"Shae Gill, Ali Sethi",1,16
"Shakira, Rauw Alejandro",1,16
Shawn Mendes,1,72
"Shawn Mendes, Camila Cabello",1,138
Sleepy Hallow,1,27
"Sofía Reyes, Jason Derulo, De La Ghetto",1,36
Steve Lacy,1,33
Surf Curse,1,47
"Swedish House Mafia, The Weeknd",1,22
"THE ANXIETY, WILLOW, Tyler Cole",1,29
"TINI, Maria Becerra",1,35
TWICE,1,16
"Tainy, Bad Bunny, Julieta Venegas",1,25
Tate McRae,1,78
Taylor Swift,2,39
"The Chainsmokers, Coldplay",1,172
"The Chainsmokers, Halsey",1,179
"The Kid LAROI, Justin Bieber",1,37
The Killers,1,87
The Neighbourhood,2,158
The Police,1,61
The Walters,1,24
The Weeknd,6,328
"The Weeknd, Ariana Grande",2,87
"The Weeknd, Daft Punk",1,97
Tiësto,1,64
"Tiësto, Ava Max",1,20
"Tiësto, KAROL G",1,32
Tom Odell,1,50
Tones And I,1,140
Travis Scott,1,226
Troye Sivan,1,19
Vance Joy,1,64
XXXTENTACION,2,251
"zzoilo, Aitana",1,29
